Instructor,Course.Number,Total.Students,A,B,C,D,F,W,Avg.GPA
"Pokorny, Melissa",ARTS 351,23,74%,22%,4%,0%,0%,0%,3.6
"Pokorny, Melissa",ARTS 450,50,56%,40%,0%,0%,4%,0%,3.41
"Cartwright, Stephen",ARTS 451,29,72%,21%,3%,3%,0%,0%,3.58
"Cartwright, Stephen",ARTS 280,21,52%,43%,5%,0%,0%,0%,3.46
"Suppok, Regis J",AVI 384,22,36%,36%,27%,0%,0%,0%,3.11
"Suppok, Regis J",AVI 210,21,38%,43%,14%,5%,0%,0%,3.17
"White, Jewell",BADM 199,30,93%,7%,0%,0%,0%,0%,3.89
"White, Jewell",BUS 120,32,94%,6%,0%,0%,0%,0%,3.91
"Packard, Carol B",BADM 310,321,51%,45%,4%,0%,0%,0%,3.44
"Packard, Carol B",BADM 313,210,56%,39%,5%,0%,0%,0%,3.42
"Preis, Michael W",BADM 320,1564,36%,44%,16%,4%,0%,0%,3.09
"Preis, Michael W",BADM 321,86,67%,28%,2%,2%,0%,0%,3.5
"Preis, Michael W",BADM 324,96,65%,34%,0%,0%,1%,0%,3.52
"Ebrahim Khanjar, Neda",BADM 374,185,55%,29%,10%,5%,1%,1%,3.33
"Yang, Shitao",BADM 375,63,54%,33%,11%,2%,0%,0%,3.39
"McCormick, Marleen E",BADM 381,131,82%,18%,0%,0%,0%,0%,3.78
"Tafti, Ali",BADM 453,73,77%,22%,1%,0%,0%,0%,3.7
"Tafti, Ali",BADM 557,109,83%,17%,0%,0%,0%,0%,3.77
"Tafti, Ali",BADM 353,104,71%,22%,7%,0%,0%,0%,3.62
"Clarke, John F",BADM 590,117,95%,3%,2%,0%,0%,0%,3.88
"Clarke, John F",ESE 497,21,48%,33%,10%,10%,0%,0%,3.22
"Clarke, John F",BADM 380,44,18%,73%,9%,0%,0%,0%,3.15
"Huang, Raven H",BIOC 445,22,77%,23%,0%,0%,0%,0%,3.79
"Huang, Raven H",MCB 406,114,47%,32%,15%,4%,3%,0%,3.15
"Gentry, Kenneth",BIOE 298,44,23%,59%,14%,5%,0%,0%,2.96
"Gentry, Kenneth",BIOE 414,263,23%,52%,19%,6%,1%,0%,2.87
"Gentry, Kenneth",BIOE 415,128,57%,40%,3%,0%,0%,0%,3.48
"Gentry, Kenneth",BIOE 205,76,24%,45%,22%,7%,1%,1%,2.79
"Williams, Lucilena D",BTW 250,87,59%,39%,0%,0%,2%,0%,3.45
"Williams, Lucilena D",RHET 243,23,39%,57%,4%,0%,0%,0%,3.32
"Marks-Dubbs, Kaitlin",BTW 250,45,87%,13%,0%,0%,0%,0%,3.8
"Hine, Angela L",BTW 250,183,84%,13%,1%,2%,1%,0%,3.58
"Lozano, Jennifer M",BTW 250,47,77%,19%,0%,0%,2%,2%,3.63
"Struble, Leslie J",CEE 300,89,16%,62%,20%,2%,0%,0%,2.87
"Elnashai, Amr S",CEE 572,181,49%,51%,0%,0%,0%,0%,3.48
"Lee, Juyeon",CHEM 103,457,79%,10%,6%,2%,3%,1%,3.6
"Ha, Yeyoung",CHEM 103,168,73%,14%,6%,0%,7%,0%,3.46
"Kim, Hyo Na",CHEM 103,353,72%,18%,5%,2%,2%,1%,3.55
"Yang, Ning",CHEM 103,27,85%,11%,4%,0%,0%,0%,3.78
"Seymour, Craig H",CHEM 103,113,73%,16%,6%,2%,4%,0%,3.53
"Miao, Yurun",CHEM 103,268,77%,15%,2%,1%,4%,0%,3.59
"Jamieson, Daniel",CHEM 104,479,16%,34%,35%,11%,2%,1%,2.5
"Jamieson, Daniel",CHEM 102,590,14%,36%,36%,11%,2%,1%,2.52
"Salim, Michael A",CHEM 105,219,83%,12%,3%,0%,2%,0%,3.74
"Desai, Shalin C",CHEM 105,353,44%,35%,15%,3%,2%,0%,3.21
"Li, Zheng",CHEM 105,59,81%,15%,2%,0%,2%,0%,3.73
"Evans, Michael J",CHEM 332,868,31%,35%,20%,12%,1%,1%,2.82
"Girolami, Gregory S",CHEM 483,49,47%,49%,4%,0%,0%,0%,3.5
"Girolami, Gregory S",CHEM 512,44,77%,23%,0%,0%,0%,0%,3.74
"Townsend, Runnell",CHLH 101,627,60%,31%,7%,1%,0%,0%,3.44
"Townsend, Runnell",KIN 102,62,97%,3%,0%,0%,0%,0%,3.97
"Conlisk, Carrie L",CHLH 206,42,90%,5%,5%,0%,0%,0%,3.84
"Diggins, Ciera C",CHLH 206,134,56%,30%,13%,0%,1%,0%,3.34
"Diggins, Ciera C",KIN 109,44,86%,9%,5%,0%,0%,0%,3.82
"Terry, Miranda S",CHLH 210,128,70%,24%,4%,2%,0%,0%,3.61
"Terry, Miranda S",CHLH 243,422,65%,31%,3%,1%,0%,0%,3.56
"Terry, Miranda S",REHB 330,97,80%,14%,4%,1%,0%,0%,3.75
"Delic-Ovcina, Lejla",CHLH 243,912,59%,23%,8%,4%,4%,1%,3.3
"Combs, Dominic D",CHLH 243,47,62%,38%,0%,0%,0%,0%,3.68
"Black, Angela",CHLH 409,38,89%,11%,0%,0%,0%,0%,3.91
"Black, Angela",CHLH 540,26,77%,23%,0%,0%,0%,0%,3.77
"Bronson-Lowe, Daniel L",CHLH 421,734,57%,31%,9%,2%,1%,0%,3.35
"Buchner, David M",CHLH 577,26,96%,4%,0%,0%,0%,0%,3.91
"Buchner, David M",CHLH 594,48,88%,12%,0%,0%,0%,0%,3.85
"Beardall, Joshua M",CI 404,22,95%,0%,5%,0%,0%,0%,3.83
"Beardall, Joshua M",CI 403,24,71%,17%,8%,0%,4%,0%,3.47
"Amalia, Yuni S",CI 407,29,93%,7%,0%,0%,0%,0%,3.92
"Garcia, Georgia E",CI 415,245,85%,15%,0%,0%,0%,0%,3.82
"Garcia, Georgia E",CI 446,24,83%,17%,0%,0%,0%,0%,3.85
"Elrick, Douglas G",CI 431,50,26%,72%,2%,0%,0%,0%,3.3
"Elrick, Douglas G",CI 432,194,93%,7%,0%,0%,0%,0%,3.87
"Elrick, Douglas G",CI 430,79,94%,6%,0%,0%,0%,0%,3.95
"Kang, Grace Y",CI 475,58,93%,5%,2%,0%,0%,0%,3.91
"Kang, Grace Y",CI 476,24,96%,0%,4%,0%,0%,0%,3.9
"Kline, Sonia M",CI 476,28,89%,7%,4%,0%,0%,0%,3.79
"Kline, Sonia M",CI 475,28,79%,21%,0%,0%,0%,0%,3.71
"Woodard, Rebecca L",CI 476,26,88%,12%,0%,0%,0%,0%,3.88
"Woodard, Rebecca L",CI 475,26,92%,4%,4%,0%,0%,0%,3.87
"Noffke, Susan E",CI 509,22,91%,5%,0%,0%,0%,5%,3.94
"Noffke, Susan E",CI 335,206,85%,15%,0%,0%,0%,0%,3.85
"Bresler, Liora",CI 522,22,91%,9%,0%,0%,0%,0%,3.86
"Yona, Sergio",CLCV 100,56,23%,43%,14%,7%,11%,2%,2.6
"Yona, Sergio",CLCV 102,160,47%,44%,6%,4%,0%,0%,3.28
"Yona, Sergio",LAT 103,42,24%,38%,24%,10%,5%,0%,2.7
"Stewart, Shannan M",CLCV 111,329,60%,26%,7%,4%,2%,0%,3.36
"Stewart, Shannan M",CLCV 115,28,75%,18%,7%,0%,0%,0%,3.67
"Stewart, Shannan M",CLCV 232,54,78%,15%,0%,2%,6%,0%,3.53
"Stewart, Shannan M",CLCV 131,53,89%,8%,0%,2%,2%,0%,3.76
"Stewart, Shannan M",CLCV 231,86,88%,5%,3%,3%,0%,0%,3.78
"Nettles, Jeremy S",CLCV 115,314,62%,32%,5%,0%,1%,0%,3.53
"Salvo, James M",CMN 112,44,95%,5%,0%,0%,0%,0%,3.93
"Dobosh, Melissa A",CMN 113,56,46%,45%,9%,0%,0%,0%,3.33
"Dobosh, Melissa A",CMN 211,62,61%,29%,10%,0%,0%,0%,3.41
"Carlson, Elizabeth J",CMN 113,116,62%,32%,5%,1%,0%,0%,3.55
"McCullough, Nathan W",CMN 211,103,84%,16%,0%,0%,0%,0%,3.84
"McCullough, Nathan W",CMN 111,48,62%,33%,4%,0%,0%,0%,3.64
"Atouba Ada, Yannick Lione",CMN 212,297,48%,33%,15%,2%,0%,0%,3.25
"Lowe, Marissa E",CMN 220,68,56%,35%,9%,0%,0%,0%,3.48
"Lowe, Marissa E",CMN 111,92,63%,24%,9%,0%,4%,0%,3.36
"Lowe, Marissa E",CMN 101,91,57%,36%,7%,0%,0%,0%,3.44
"King, Andrew J",CMN 396,122,34%,43%,14%,5%,4%,0%,2.95
"King, Andrew J",CMN 496,26,58%,35%,8%,0%,0%,0%,3.4
"Haegele, Jason W",CPSC 518,32,72%,28%,0%,0%,0%,0%,3.67
"Miller, Keith W",CS 210,89,53%,36%,9%,2%,0%,0%,3.39
"Kamin, Samuel N",CS 421,370,49%,22%,22%,3%,3%,1%,3.12
"Dig, Daniel",CS 428,28,50%,50%,0%,0%,0%,0%,3.32
"Dig, Daniel",CS 429,108,46%,46%,6%,0%,1%,0%,3.26
"Dig, Daniel",CS 427,288,52%,41%,6%,0%,1%,0%,3.44
"King, Samuel T",CS 498,36,78%,14%,8%,0%,0%,0%,3.61
"Johnson, Ralph E",CS 528,41,71%,29%,0%,0%,0%,0%,3.71
"Johnson, Ralph E",CS 428,24,71%,29%,0%,0%,0%,0%,3.67
"Johnson, Ralph E",CS 429,72,56%,43%,1%,0%,0%,0%,3.51
"Johnson, Ralph E",CS 427,101,69%,25%,3%,2%,0%,1%,3.56
"Johnson, Ralph E",CS 598,30,83%,17%,0%,0%,0%,0%,3.83
"Hamrick, Anna L",CWL 114,46,59%,22%,13%,2%,2%,2%,3.32
"Lai, Pin-Chieh",CWL 114,24,71%,12%,4%,8%,4%,0%,3.36
"Lai, Pin-Chieh",CWL 241,21,86%,14%,0%,0%,0%,0%,3.81
"DiGregorio, Ashley A",CWL 242,22,68%,32%,0%,0%,0%,0%,3.59
"Speights, Rhea C",DANC 100,28,82%,18%,0%,0%,0%,0%,3.73
"Remes, Monica A",DANC 101,26,92%,8%,0%,0%,0%,0%,3.87
"Kelley, Kathleen M",DANC 105,31,97%,3%,0%,0%,0%,0%,3.97
"Kelley, Kathleen M",DANC 100,60,53%,27%,17%,0%,0%,3%,3.33
"Nuffer, Laura K",EALC 250,151,57%,34%,9%,0%,0%,0%,3.45
"Nuffer, Laura K",EALC 275,241,52%,37%,9%,0%,1%,1%,3.38
"Vogel, Erica",EALC 285,25,68%,20%,4%,0%,8%,0%,3.31
"Vogel, Erica",EALC 398,23,87%,13%,0%,0%,0%,0%,3.86
"Karantasis, Konstantinos",ECE 190,132,35%,30%,27%,6%,2%,0%,2.87
"Mohamed, Mohamed Y",ECE 205,216,52%,39%,8%,1%,0%,0%,3.42
"Mohamed, Mohamed Y",ECE 440,144,34%,42%,22%,1%,0%,0%,3.05
"Pop, Eric",ECE 340,138,31%,30%,31%,7%,0%,1%,2.87
"Pop, Eric",ECE 440,82,29%,34%,26%,6%,4%,1%,2.77
"Stratton, John A",ECE 391,111,16%,42%,27%,8%,6%,0%,2.54
"Huang, Thomas S",ECE 417,23,91%,0%,0%,9%,0%,0%,3.67
"Huang, Thomas S",ECE 547,71,96%,4%,0%,0%,0%,0%,3.88
"Coleman, James J",ECE 444,115,48%,37%,9%,3%,3%,2%,3.27
"King, Daniel A",ECE 473,28,43%,36%,11%,4%,7%,0%,3.04
"Schneider, John W",ECON 102,141,52%,31%,13%,2%,1%,0%,3.21
"Zubareva, Daria",ECON 102,77,35%,42%,13%,8%,3%,0%,2.94
"Xie, Xiaoying",ECON 102,299,41%,35%,19%,4%,1%,0%,3.06
"Xie, Xiaoying",ECON 103,196,27%,34%,23%,11%,4%,1%,2.68
"Chang, Eui Soon",ECON 103,202,25%,37%,28%,8%,2%,0%,2.75
"Chang, Eui Soon",ECON 102,234,28%,44%,21%,3%,3%,0%,2.91
"Nivin Valdiviez, Rafael J",ECON 103,247,31%,45%,15%,3%,3%,2%,2.99
"Nivin Valdiviez, Rafael J",ECON 303,58,64%,28%,9%,0%,0%,0%,3.53
"Jo, Young",ECON 202,302,30%,34%,24%,8%,4%,1%,2.79
"Jo, Young",ECON 203,56,23%,39%,25%,5%,7%,0%,2.62
"Cheng, Tzu-Chang",ECON 302,73,52%,30%,12%,1%,4%,0%,3.2
"Cheng, Tzu-Chang",ECON 102,147,39%,35%,21%,3%,1%,0%,3.12
"Cheng, Tzu-Chang",ECON 203,218,20%,40%,18%,11%,9%,1%,2.53
"Bailey Athias, Diloa J",ECON 302,94,59%,26%,12%,3%,1%,0%,3.28
"Bailey Athias, Diloa J",ECON 103,85,32%,54%,11%,4%,0%,0%,3.14
"Bailey Athias, Diloa J",ECON 102,395,53%,30%,12%,3%,2%,1%,3.28
"Toossi Ardakani, Ali",ECON 303,65,32%,46%,22%,0%,0%,0%,3.06
"Toossi Ardakani, Ali",ECON 480,49,53%,20%,24%,2%,0%,0%,3.25
"Toossi Ardakani, Ali",ECON 506,292,55%,44%,1%,0%,0%,0%,3.5
"Toossi Ardakani, Ali",ECON 302,279,29%,39%,21%,10%,0%,0%,2.84
"Toossi Ardakani, Ali",ECON 576,21,76%,24%,0%,0%,0%,0%,3.7
"Villamil, Anne",ECON 505,23,78%,22%,0%,0%,0%,0%,3.83
"Villamil, Anne",ECON 564,238,65%,34%,2%,0%,0%,0%,3.62
"Belluzzo, Walter",ECON 507,33,42%,55%,3%,0%,0%,0%,3.28
"Zink, Amanda J",ENGL 116,117,76%,23%,1%,0%,0%,0%,3.74
"Vredenburg, Jason",ENGL 116,92,53%,47%,0%,0%,0%,0%,3.52
"Vredenburg, Jason",BTW 250,67,61%,33%,4%,0%,1%,0%,3.47
"Vredenburg, Jason",ENGL 104,66,52%,42%,5%,0%,2%,0%,3.36
"Vredenburg, Jason",ENGL 251,35,46%,54%,0%,0%,0%,0%,3.4
"Oneil, John C",ENGL 120,26,65%,27%,0%,0%,8%,0%,3.35
"Oneil, John C",ENGL 115,57,79%,16%,2%,2%,2%,0%,3.63
"Oneil, John C",RHET 105,66,74%,17%,8%,0%,2%,0%,3.54
"Beach, Jensen W",ENGL 256,33,67%,33%,0%,0%,0%,0%,3.6
"Beach, Jensen W",SCAN 215,31,39%,52%,3%,0%,6%,0%,3.16
"Beach, Jensen W",RHET 105,130,62%,29%,5%,0%,3%,2%,3.43
"Goodlad, Lauren M",ENGL 274,24,54%,42%,0%,0%,0%,4%,3.51
"Rothberg, Michael",ENGL 301,36,67%,25%,3%,3%,0%,3%,3.58
"Russell, Lindsay R",ENGL 481,44,86%,11%,0%,0%,2%,0%,3.79
"Cain, Timothy R",EOL 571,48,83%,15%,0%,0%,0%,2%,3.77
"Jones, John W",EPS 201,44,86%,9%,0%,2%,0%,2%,3.81
"Greenhalgh-Spen, Heather",EPS 202,47,94%,6%,0%,0%,0%,0%,3.91
"Murdock-Jordan, Chris D",EPSY 220,52,67%,13%,10%,2%,6%,2%,3.34
"Grison Sullivan, Sarah",EPSY 236,133,69%,23%,5%,0%,1%,2%,3.62
"Grison Sullivan, Sarah",PSYC 100,184,23%,46%,20%,8%,3%,1%,2.79
"Caskurlu, Tolga",FIN 221,202,46%,32%,16%,5%,1%,0%,3.17
"Sarrafi, Nasrin",FIN 221,296,36%,34%,22%,6%,2%,0%,2.99
"Ay, Deniz",FIN 221,253,38%,31%,23%,6%,1%,2%,3
"Ay, Deniz",ECON 102,220,36%,39%,16%,8%,1%,0%,2.99
"Ay, Deniz",ECON 202,90,38%,37%,18%,7%,1%,0%,3.1
"Liu, Ping",FIN 221,100,35%,37%,19%,9%,0%,0%,2.99
"Agarwal, Charu",FIN 221,96,31%,45%,19%,4%,1%,0%,2.96
"Sianis, Sofia G",FIN 241,32,69%,31%,0%,0%,0%,0%,3.6
"Clark, Stephen R",FIN 300,124,8%,37%,40%,14%,0%,2%,2.41
"Clark, Stephen R",FIN 580,29,97%,3%,0%,0%,0%,0%,3.9
"Clark, Stephen R",FIN 512,32,94%,6%,0%,0%,0%,0%,3.86
"Hackbarth, Dirk",FIN 451,23,48%,52%,0%,0%,0%,0%,3.45
"Hackbarth, Dirk",FIN 321,76,13%,66%,21%,0%,0%,0%,2.9
"Mallon, Michael F",FIN 580,36,97%,3%,0%,0%,0%,0%,3.94
"Andre, Katharina",FR 103,25,56%,44%,0%,0%,0%,0%,3.4
"Laforet, Johnny A",FR 103,44,57%,36%,5%,0%,0%,2%,3.46
"Laforet, Johnny A",FR 101,21,57%,33%,5%,5%,0%,0%,3.3
"Keller, Marcus",FR 156,106,54%,37%,7%,0%,2%,1%,3.39
"Keller, Marcus",FR 435,21,43%,24%,19%,10%,5%,0%,2.89
"Zhou, Enlu",GE 320,26,58%,27%,15%,0%,0%,0%,3.4
"Zhou, Enlu",IE 330,41,54%,27%,15%,5%,0%,0%,3.28
"Burgon, Holli",GE 361,192,62%,30%,3%,2%,3%,0%,3.44
"Burgon, Holli",ENG 199,52,81%,8%,4%,4%,4%,0%,3.51
"Cheng, Benjamin C",GEOG 101,216,47%,37%,10%,4%,2%,0%,3.18
"Umar, Muhammad",GEOG 101,45,44%,47%,7%,0%,2%,0%,3.27
"Aadland, Matthew A",GEOG 101,103,50%,31%,11%,2%,7%,0%,3.07
"Flint, Colin",GEOG 110,546,46%,36%,11%,4%,2%,0%,3.2
"Flint, Colin",GEOG 310,72,40%,50%,6%,0%,3%,1%,3.21
"Nuesiri, Emmanuel",GEOG 210,71,30%,56%,11%,3%,0%,0%,3.06
"Chhatre, Ashwini",GEOG 481,45,60%,36%,4%,0%,0%,0%,3.44
"Chhatre, Ashwini",GEOG 106,412,73%,16%,6%,2%,2%,0%,3.52
"Chhatre, Ashwini",GEOG 466,26,77%,15%,8%,0%,0%,0%,3.54
"Kehoe, Kelsey S",GEOL 100,68,31%,47%,18%,1%,3%,0%,2.93
"Hinton, Jessica S",GEOL 100,21,19%,48%,24%,5%,5%,0%,2.76
"Zhang, Guimiao",GEOL 100,21,19%,43%,29%,10%,0%,0%,2.73
"Armstrong, Elizabeth L",GEOL 107,24,46%,50%,0%,4%,0%,0%,3.29
"Fischer, Jenny",GER 103,45,38%,42%,16%,4%,0%,0%,3.14
"Travlos, Konstantinos",GLBL 296,24,33%,25%,12%,25%,4%,0%,2.54
"Travlos, Konstantinos",PS 280,62,55%,40%,2%,2%,0%,2%,3.44
"Kuenning, Matthew P",GLBL 296,21,76%,14%,10%,0%,0%,0%,3.62
"Kuenning, Matthew P",LAW 792,21,38%,48%,14%,0%,0%,0%,3.27
"Roig Mora, Arnau",GWS 100,110,54%,30%,10%,3%,4%,0%,3.24
"Siebert, Andrew C",HIST 100,24,62%,33%,0%,4%,0%,0%,3.38
"Siebert, Andrew C",HIST 274,92,39%,41%,13%,4%,0%,2%,3.15
"Prakash, Archana",HIST 100,23,22%,43%,17%,9%,9%,0%,2.62
"Jakel, Elana J",HIST 141,22,50%,41%,5%,0%,5%,0%,3.24
"Staudenmaier, Michael J",HIST 172,95,35%,58%,4%,2%,1%,0%,3.22
"White, Megan S",HIST 172,64,45%,38%,11%,6%,0%,0%,3.12
"Jordan, Jason C",HIST 172,24,58%,33%,4%,0%,4%,0%,3.44
"Poppel, Zachary D",HIST 256,34,74%,24%,3%,0%,0%,0%,3.69
"Poppel, Zachary D",HIST 110,45,40%,58%,2%,0%,0%,0%,3.44
"Hayton, Jeff P",HIST 258,36,33%,58%,0%,0%,8%,0%,2.98
"Hayton, Jeff P",HIST 252,21,48%,52%,0%,0%,0%,0%,3.33
"Georgescu, Diana",HIST 259,38,32%,42%,16%,8%,3%,0%,2.89
"Cain, Courtney S",HIST 281,22,45%,36%,5%,5%,5%,5%,3.13
"Hustak, Carla C",HIST 286,42,24%,71%,0%,2%,2%,0%,3.02
"Prochaska, David",HIST 300,43,37%,40%,14%,7%,2%,0%,2.92
"Prochaska, David",HIST 258,69,17%,48%,25%,10%,0%,0%,2.73
"Prochaska, David",HIST 352,61,36%,25%,31%,5%,0%,3%,2.97
"Carrington, Tyler D",HIST 354,30,50%,27%,23%,0%,0%,0%,3.18
"Bowermaster, Jon P",HRE 401,76,57%,38%,5%,0%,0%,0%,3.48
"Bowermaster, Jon P",HRE 490,22,95%,0%,0%,0%,5%,0%,3.77
"Bowermaster, Jon P",HRE 400,31,61%,39%,0%,0%,0%,0%,3.62
"Bowermaster, Jon P",HRE 535,51,90%,10%,0%,0%,0%,0%,3.82
"Frazzetta, Thomas H",IB 433,21,48%,38%,14%,0%,0%,0%,3.38
"Hoover, Jeffrey P",IB 461,36,69%,22%,6%,0%,3%,0%,3.54
"Hoover, Jeffrey P",IB 368,74,46%,38%,8%,5%,3%,0%,3.23
"Pang, Jong-Shi",IE 525,80,65%,34%,1%,0%,0%,0%,3.63
"Pang, Jong-Shi",IE 524,43,51%,42%,7%,0%,0%,0%,3.39
"Davis, Ian K",JOUR 405,117,52%,33%,11%,2%,2%,0%,3.26
"Davis, Ian K",ADV 493,236,63%,30%,6%,0%,1%,1%,3.51
"Davis, Ian K",MS 101,23,87%,13%,0%,0%,0%,0%,3.84
"Davis, Ian K",MS 389,30,60%,27%,13%,0%,0%,0%,3.46
"Davis, Ian K",MS 317,35,51%,40%,6%,3%,0%,0%,3.42
"Lemieux, Christopher G",KIN 101,54,94%,6%,0%,0%,0%,0%,3.95
"Iehl-Morse, Karen A",KIN 120,33,21%,42%,27%,6%,3%,0%,2.75
"Dlugonski, Deirdre M",KIN 122,386,64%,25%,8%,2%,0%,0%,3.47
"Dlugonski, Deirdre M",KIN 132,52,92%,8%,0%,0%,0%,0%,3.9
"Bates, Nameka R",KIN 142,134,66%,25%,6%,2%,1%,0%,3.48
"Bates, Nameka R",AFRO 199,67,93%,7%,0%,0%,0%,0%,3.86
"Pyo, Jung Wook",KOR 202,25,84%,16%,0%,0%,0%,0%,3.85
"Pyo, Jung Wook",KOR 201,65,88%,12%,0%,0%,0%,0%,3.83
"Hindle, Richard L",LA 234,21,19%,62%,10%,5%,5%,0%,2.73
"Hindle, Richard L",LA 452,26,35%,62%,4%,0%,0%,0%,3.37
"Fulton, Gale",LA 281,77,43%,48%,5%,4%,0%,0%,3.28
"Palma, Karla",LAST 170,90,86%,8%,6%,1%,0%,0%,3.76
"Mathews, Judkins C",LAW 606,51,31%,55%,14%,0%,0%,0%,3.22
"Mathews, Judkins C",LAW 615,83,37%,57%,6%,0%,0%,0%,3.34
"Williams, Cynthia A",LAW 635,30,73%,27%,0%,0%,0%,0%,3.72
"Williams, Cynthia A",LAW 633,44,41%,52%,2%,0%,5%,0%,3.25
"Bradford, John T",LAW 792,22,50%,41%,5%,0%,5%,0%,3.3
"Purvis, Dara",LAW 792,28,39%,50%,7%,0%,0%,4%,3.33
"Purvis, Dara",LAW 667,101,55%,34%,11%,0%,0%,0%,3.41
"Lundy, Catherine M",LER 100,198,36%,29%,13%,10%,9%,4%,2.75
"Slavin, David",LER 100,25,36%,28%,12%,12%,12%,0%,2.57
"Bielski Boris, Monica L",LER 320,126,56%,22%,10%,6%,4%,1%,3.19
"Bielski Boris, Monica L",LER 100,72,53%,31%,12%,4%,0%,0%,3.29
"Luchkina, Tatiana V",LING 100,75,67%,29%,1%,3%,0%,0%,3.5
"Mahrt, Timothy J",LING 210,61,49%,48%,3%,0%,0%,0%,3.42
"Twidale, Michael B",LIS 490,46,89%,9%,0%,0%,2%,0%,3.75
"Twidale, Michael B",LIS 590,42,86%,14%,0%,0%,0%,0%,3.75
"Mak, Bonnie",LIS 502,72,83%,14%,1%,0%,1%,0%,3.7
"Mak, Bonnie",LIS 590,21,81%,19%,0%,0%,0%,0%,3.72
"Nielsen, Anna L",LIS 515,22,95%,0%,0%,0%,5%,0%,3.82
"Burton, Margaret A",LIS 516,21,95%,5%,0%,0%,0%,0%,3.95
"Hotchkiss, Valerie",LIS 590,47,83%,11%,2%,2%,0%,2%,3.77
"Inda, Jonathan X",LLS 387,84,76%,20%,1%,0%,2%,0%,3.65
"Troger, Mandy",MACS 101,170,71%,26%,2%,1%,0%,0%,3.61
"Troger, Mandy",MS 351,51,43%,43%,12%,0%,2%,0%,3.27
"Baldwin, Martina S",MACS 101,70,90%,9%,0%,0%,1%,0%,3.81
"Bulut, Ergin",MACS 101,71,79%,13%,6%,0%,3%,0%,3.62
"Bulut, Ergin",GLBL 100,25,52%,36%,4%,4%,4%,0%,3.31
"Shen, Hong",MACS 166,66,86%,12%,2%,0%,0%,0%,3.82
"Shen, Hong",MACS 320,122,56%,39%,5%,0%,0%,0%,3.55
"Elichirigoity, Fernando I",MACS 264,41,78%,22%,0%,0%,0%,0%,3.76
"Elichirigoity, Fernando I",MACS 364,147,81%,18%,0%,0%,1%,0%,3.7
"Elichirigoity, Fernando I",MACS 317,113,73%,27%,0%,0%,0%,0%,3.65
"Elichirigoity, Fernando I",MS 264,39,85%,15%,0%,0%,0%,0%,3.8
"Elichirigoity, Fernando I",MS 317,87,63%,34%,1%,0%,0%,1%,3.59
"Bergman, Tabe R",MACS 331,53,51%,40%,9%,0%,0%,0%,3.45
"Bergman, Tabe R",MACS 101,44,82%,18%,0%,0%,0%,0%,3.77
"Bergman, Tabe R",MS 326,24,21%,46%,21%,4%,8%,0%,2.64
"Bergman, Tabe R",MS 166,21,86%,5%,10%,0%,0%,0%,3.73
"Chen, Wenrui",MACS 389,34,76%,21%,3%,0%,0%,0%,3.69
"Chen, Wenrui",MACS 320,126,43%,52%,3%,2%,0%,0%,3.32
"Chen, Wenrui",MS 391,24,58%,33%,0%,4%,4%,0%,3.25
"Chen, Wenrui",MS 101,27,70%,30%,0%,0%,0%,0%,3.57
"Potter, Richard A",MACS 464,37,84%,16%,0%,0%,0%,0%,3.78
"Potter, Richard A",MS 166,30,57%,33%,7%,3%,0%,0%,3.42
"Lansing, Jennifer L",MATH 115,100,8%,21%,26%,15%,26%,4%,1.66
"Lansing, Jennifer L",MATH 220,26,23%,35%,15%,19%,8%,0%,2.47
"Lansing, Jennifer L",MATH 124,22,18%,50%,18%,9%,5%,0%,2.71
"Phaovibul, Mtip E",MATH 119,27,52%,37%,4%,0%,7%,0%,3.31
"Rezvani, Sepideh",MATH 124,73,34%,36%,16%,5%,8%,0%,2.74
"Kim, Ki Yeun",MATH 124,49,22%,37%,20%,6%,14%,0%,2.48
"Eid, Abdulla J",MATH 181,24,38%,25%,8%,17%,12%,0%,2.49
"Zhou, Gang",MATH 213,59,46%,34%,19%,0%,2%,0%,3.2
"Cummins, Desmond F",MATH 225,212,61%,25%,7%,2%,4%,0%,3.41
"Cummins, Desmond F",MATH 241,39,41%,28%,21%,5%,3%,3%,2.97
"Cummins, Desmond F",MATH 290,27,48%,48%,4%,0%,0%,0%,3.42
"Cummins, Desmond F",MATH 181,27,48%,22%,22%,4%,0%,4%,3.21
"Kim, Eunmi",MATH 225,26,38%,42%,8%,0%,8%,4%,3.13
"Kim, Eunmi",MATH 241,24,33%,38%,29%,0%,0%,0%,3.01
"Dowdall, Spencer D",MATH 231,494,31%,35%,25%,6%,2%,1%,2.87
"Choi, Jinwon",MATH 234,181,24%,35%,34%,3%,2%,1%,2.79
"Choi, Jinwon",MATH 241,36,25%,33%,28%,11%,3%,0%,2.66
"Cunningham, Christopher J",MATH 286,69,41%,30%,16%,6%,7%,0%,2.87
"Cunningham, Christopher J",MATH 221,734,26%,49%,20%,2%,2%,1%,2.94
"Palmer, Cory T",MATH 347,46,46%,39%,15%,0%,0%,0%,3.26
"Palmer, Cory T",MATH 115,86,20%,37%,28%,10%,3%,1%,2.6
"Palmer, Cory T",MATH 125,148,28%,34%,26%,7%,5%,1%,2.71
"Palmer, Cory T",MATH 181,44,45%,32%,18%,0%,0%,5%,3.27
"Palmer, Cory T",MATH 213,56,50%,43%,7%,0%,0%,0%,3.4
"Stolee, Derrick P",MATH 412,24,54%,25%,8%,0%,8%,4%,3.19
